계산일자,통화코드,시장평균환율
2020-08-06,JPY,1127.25
2020-08-06,USD,1190.3
2020-08-07,CNY,170.63
2020-08-07,EUR,1406.99
2020-08-07,JPY,1122.54
2020-08-07,USD,1184.3
2020-08-10,CNY,170.45
2020-08-10,EUR,1406.09
2020-08-10,JPY,1123.7
2020-08-10,USD,1185.9
2020-08-11,CNY,170.38
2020-08-11,EUR,1399.88
2020-08-11,JPY,1122.14
2020-08-11,USD,1186.7
2020-08-12,CNY,170.44
2020-08-12,EUR,1391.44
2020-08-12,JPY,1117.23
2020-08-12,USD,1184.9
2020-08-13,CNY,170.67
2020-08-13,EUR,1391.08
2020-08-13,JPY,1112.08
2020-08-13,USD,1186
2020-08-14,CNY,170.67
2020-08-14,EUR,1397.84
2020-08-14,JPY,1109.17
2020-08-14,USD,1183.6
2020-08-18,CNY,170.74
2020-08-18,EUR,1400.73
2020-08-18,JPY,1109.02
2020-08-18,USD,1185.8
2020-08-19,CNY,171.05
2020-08-19,EUR,1408.75
2020-08-19,JPY,1120.78
2020-08-19,USD,1185.1
2020-08-20,CNY,171.06
2020-08-20,EUR,1411.86
2020-08-20,JPY,1121.76
2020-08-20,USD,1182.3
2020-08-21,CNY,171.44
2020-08-21,EUR,1405.03
2020-08-21,JPY,1118.36
2020-08-21,USD,1186.3
2020-08-24,CNY,171.76
2020-08-24,EUR,1407.21
2020-08-24,JPY,1121.78
2020-08-24,USD,1185.3
2020-08-25,CNY,172.12
2020-08-25,EUR,1404.09
2020-08-25,JPY,1124.79
2020-08-25,USD,1190
2020-08-26,CNY,171.82
2020-08-26,EUR,1400.5
2020-08-26,JPY,1119.76
2020-08-26,USD,1186.3
2020-08-27,CNY,172.03
2020-08-27,EUR,1403.71
2020-08-27,JPY,1115.09
2020-08-27,USD,1187
2020-08-28,CNY,172.34
2020-08-28,EUR,1403.29
2020-08-28,JPY,1119.05
2020-08-28,USD,1185.7
2020-08-31,CNY,172.33
2020-08-31,EUR,1403.14
2020-08-31,JPY,1111.06
2020-08-31,USD,1185.1
2020-09-01,CNY,172.58
2020-09-01,EUR,1408.4
2020-09-01,JPY,1120.94
2020-09-01,USD,1183.3
2020-09-02,CNY,173.41
2020-09-02,EUR,1418.33
2020-09-02,JPY,1120.27
2020-09-02,USD,1184.6
2020-09-03,CNY,173.62
2020-09-03,EUR,1412.39
2020-09-03,JPY,1118.89
2020-09-03,USD,1186.2
2020-09-04,CNY,173.75
2020-09-04,EUR,1404.11
2020-09-04,JPY,1117.56
2020-09-04,USD,1187.5
2020-09-07,CNY,173.91
2020-09-07,EUR,1410.47
2020-09-07,JPY,1121.26
2020-09-07,USD,1190.2
2020-09-08,CNY,173.76
2020-09-08,EUR,1405.29
2020-09-08,JPY,1117.15
2020-09-08,USD,1187.2
2020-09-09,CNY,173.79
2020-09-09,EUR,1402.89
2020-09-09,JPY,1117.81
2020-09-09,USD,1187.9
2020-09-10,CNY,173.58
2020-09-10,EUR,1400.9
2020-09-10,JPY,1123.13
2020-09-10,USD,1189.6
2020-09-11,CNY,173.39
2020-09-11,EUR,1400.99
2020-09-11,JPY,1116.62
2020-09-11,USD,1185.3
2020-09-14,CNY,173.74
2020-09-14,EUR,1406.03
2020-09-14,JPY,1119.25
2020-09-14,USD,1188.3
2020-09-15,CNY,173.44
2020-09-15,EUR,1402.99
2020-09-15,JPY,1116.4
2020-09-15,USD,1184.2
2020-09-16,CNY,173.86
2020-09-16,EUR,1402.64
